id,aptem_id,month,category,title,source_ref,reason
130663,4124,2026-04,assignment,Commercial Intelligence,asg:31994,No active linked or referenced evidence document/reflection
130665,4124,2026-05,assignment,Month 7 - LMS Progress,asg:32011,No active linked or referenced evidence document/reflection
130666,4124,2026-05,assignment,Commercial Intelligence,asg:31995,No active linked or referenced evidence document/reflection
130667,4124,2026-06,assignment,"CI 1:Marketing, Commercial Success & Performance - Assignment",asg:65279,No active linked or referenced evidence document/reflection
130668,4124,2026-06,assignment,M.CJ 4: Governance & Compliance - Assignment,asg:65265,No active linked or referenced evidence document/reflection
130669,4124,2026-06,assignment,Month 8 - LMS Progress,asg:32012,No active linked or referenced evidence document/reflection
130670,4124,2026-06,assignment,Commercial Intelligence,asg:31996,No active linked or referenced evidence document/reflection
130671,4124,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - LMS Activity,asg:65282,No active linked or referenced evidence document/reflection
130672,4124,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - Assignment,asg:65281,No active linked or referenced evidence document/reflection
130673,4124,2026-07,assignment,Month 9 - LMS Progress,asg:32013,No active linked or referenced evidence document/reflection
130674,4124,2026-07,assignment,Customer Journey Optimisation,asg:31997,No active linked or referenced evidence document/reflection
130721,4124,2026-08,assignment,CI 3:Competitive Advantage & Commercial Insight - Assignment,asg:65289,No active linked or referenced evidence document/reflection
130558,4040,2026-03,assignment,Month 5. Planning Integrated Campaigns (Coach Led Assignment),asg:31405,No active linked or referenced evidence document/reflection
130559,4040,2026-04,assignment,M.SM 2: Tips & Tricks of Using Social Media Efficiently - Assignment,asg:61546,No active linked or referenced evidence document/reflection
130620,4104,2026-07,assignment,Month 9: Quality Management and Stakeholder Engagement - Coach Led Assignment,asg:31741,No active linked or referenced evidence document/reflection
130621,4104,2026-07,assignment,Month 9. Social Media Marketing - Campaigns & Content (Coach Led Assignment),asg:31534,No active linked or referenced evidence document/reflection
130622,4104,2026-07,assignment,Module 1 PCP/AMP PQ - Coach Led Assignments,asg:31800,No active linked or referenced evidence document/reflection
130623,4104,2026-07,assignment,Month 9 - Foundation of Project Control,asg:31605,No active linked or referenced evidence document/reflection
130624,4104,2026-08,assignment,"EVM 2: Baselines, Planning & Structure - Assignment",asg:74033,No active linked or referenced evidence document/reflection
130626,4104,2026-08,assignment,Month 10. Social Media Marketing - Campaigns & Content (Coach Led Assignment),asg:31535,No active linked or referenced evidence document/reflection
130627,4104,2026-08,assignment,Module 1 PCP/AMP PQ - Coach Led Assignments,asg:31801,No active linked or referenced evidence document/reflection
130628,4104,2026-08,assignment,Month 10 - Foundation of Project Control,asg:31606,No active linked or referenced evidence document/reflection
130629,4035,2026-06,assignment,M.SM 4: Measuring Performance & Future Trends of Social Media - Assignment,asg:61193,No active linked or referenced evidence document/reflection
130630,4035,2026-07,assignment,M.MarTech 1: Introduction into MarTech & AI in Marketing - Assignment,asg:61214,No active linked or referenced evidence document/reflection
130631,4035,2026-08,assignment,M.MarTech 2: AdTech & CRM Technology - Assignment,asg:61215,No active linked or referenced evidence document/reflection
163558,1001,2026-05,reading+quiz,Q1 – Acquisition And Conversion Diagnostics.,la:118213:125287,Material 125287: original questions available but no saved learner answers
130699,4190,2026-03,assignment,Month 5. Planning Integrated Campaigns (Coach Led Assignment),asg:35691,No active linked or referenced evidence document/reflection
130701,4190,2026-07,assignment,M.MarTech 1: Introduction into MarTech & AI in Marketing - Assignment,asg:61358,No active linked or referenced evidence document/reflection
130705,4250,2026-06,assignment,"CI 1:Marketing, Commercial Success & Performance - Assignment",asg:65417,No active linked or referenced evidence document/reflection
130707,4250,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - LMS Activity,asg:65420,No active linked or referenced evidence document/reflection
130836,4342,2026-01,assignment,Month 3 : Strategic Marketing Plan Development - Coach Led Assignment,asg:35656,No active linked or referenced evidence document/reflection
130844,4342,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - LMS Activity,asg:64376,No active linked or referenced evidence document/reflection
130845,4342,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - Assignment,asg:64375,No active linked or referenced evidence document/reflection
131359,5507,2026-06,assignment,Month 7 : Scheduling - Coach Led Assignment,asg:42352,No active linked or referenced evidence document/reflection
163559,1001,2026-05,reading+quiz,"Q2 –Value, loyalty and relationship health.",la:118213:125303,Material 125303: original questions available but no saved learner answers
163560,1001,2026-05,reading+quiz,"Q3 –Channel performance, ROMI and board-level reporting.",la:118213:125319,Material 125319: original questions available but no saved learner answers
130709,4250,2026-08,assignment,CI 3:Competitive Advantage & Commercial Insight - Assignment,asg:65427,No active linked or referenced evidence document/reflection
131360,5507,2026-07,assignment,PMP 6: Risk Management - Assignment,asg:56990,No active linked or referenced evidence document/reflection
163561,1001,2026-05,reading+quiz,Q1 - Set Customer-Centric Direction and Build the Evidence Base,la:118213:125842,Material 125842: original questions available but no saved learner answers
130814,4334,2026-05,assignment,Month 7 : Risk and Quality Management - Coach Led Assignment,asg:35547,No active linked or referenced evidence document/reflection
130856,4334,2026-08,assignment,"EVM 2: Baselines, Planning & Structure - Assignment",asg:78872,No active linked or referenced evidence document/reflection
130912,4443,2026-04,assignment,"M.CJ 2:Performance, Planning & Execution - Assignment",asg:63488,No active linked or referenced evidence document/reflection
130913,4443,2026-05,assignment,M.CJ 3: Governance & Compliance - Assignment,asg:63489,No active linked or referenced evidence document/reflection
130914,4443,2026-06,assignment,"CI 1:Marketing, Commercial Success & Performance - Assignment",asg:63508,No active linked or referenced evidence document/reflection
130915,4443,2026-06,assignment,M.CJ 4: Governance & Compliance - Assignment,asg:63497,No active linked or referenced evidence document/reflection
130916,4443,2026-07,assignment,CI 2:Data-Driven Value & Business Impact - LMS Activity,asg:63511,No active linked or referenced evidence document/reflection
